ICAO,IATA,Name,Hersteller,Store
BGGH,,Nuuk,M'M Simulations,iniBuilds
CYOW,,Ottawa Macdonald-Cartier International Airport,Roman Design,OrbX
EBBR,BRU,Brussels Airport,Aerosoft,MS
EDDB,BER,Berlin Brandenburg Airport,Limesim,MS
EDDF,,Frankfurt,Aerosoft,Aerosoft
EDDK,CGN,Cologne Bonn Airport,Aerosoft,MS
EDDL,DUS,Dusseldorf International Airport,MK Studios,MS
EDDM,MUC,Munich International Airport,Aerosoft,OrbX
EDDN,,,Captain7,MS
EDDP,LEJ,Leipzig Halle Airport,Digital Design,MS
EDDV,,Hannover,inibuilds,iniBuilds
EDDW,BRE,Bremen Airport,FSDG,MS
EDLP,,Paderborn-Lippstadt Airport,Aerosoft,MS
EDLV,,Weeze,SimPixel,iniBuilds
EDXW,GWT,Westerland Sylt Airport,FSDG,MS
EGLC,,London City Airport,UK2000,MS
EGLL,,London Heathrow,inibuilds,iniBuilds
EHAM,AMS,Amsterdam Airport Schiphol,Fly Tampa,MS
EKCH,CPH,Copenhagen Kastrup Airport,Fly Tampa,MS
ENGM,OSL,Oslo Gardermoen Airport,Aerosoft,MS
ENVA,TRD,Trondheim Airport Vaernes,Aerosoft,MS
KBOS,BOS,General Edward Lawrence Logan International Airport,Fly Tampa,MS
KDEN,DEN,Denver International Airport,Flightbeam,MS
KJFK,,John F. Kennedy International Airport,Inibuilds,MS
KLAS,LAS,Harry Reid International Airport,Fly Tampa,MS
KSEZ,SDX,Sedona Airport,XCodr,MS
KSFO,SFO,San Francisco International Airport,Flightbeam,MS
LEPA,,Palma de Mallorca Airport,Justsim ,MS
LGAV,ATH,Eleftherios Venizelos International Airport,Fly Tampa,OrbX
LGKR,CFU,Ioannis Kapodistrias International Airport,Fly Tampa,MS
LGSM,SMI,Samos Airport,Terrainy Studios,MS
LOWG,GRZ,Graz Airport,OrbX,OrbX
LOWI,INN,Innsbruck Airport,inibuilds,iniBuilds
LOWS,SZG,Salzburg Airport,Digital Design,OrbX
LSGG,GVA,Geneva Cointrin International Airport,Redwing,MS
LSZH,ZRH,Zurich Airport,Fs Dreamteam,MS
NZMF,,,Blinn,FSTO
OMDB,DXB,Dubai International Airport,Inibuilds,MS
PHNL,HNL,Daniel K Inouye International Airport,Inibuilds,MS
TJSJ,SJU,Luis Munoz Marin International Airport,Latin VFR,MS
TNCB,BON,Flamingo International Airport,Aerosoft,MS
WSSS,SIN,Singapore Changi International Airport,Cloudsurf Asia Simulations,MS
YMML,,Melbourne International Airport ,Orbx,MS
YSSY,,Sydney International Airport,Fly Tampa,OrbX
